id,name
75,BRUNO BOSSIO Vincenza
78,BUFFAGNI Stefano
90,CANNIZZARO Francesco
46,BERLINGHIERI Marina
48,BERTI Francesco
49,BIANCHI Matteo Luigi
102,CARDINALE Daniela
112,CASINO Michele
116,CASTELLI Laura
114,CASSESE Gianpaolo
117,CASTIELLO Giuseppina
126,CENNI Susanna
62,BOND Dario
63,BONIARDI Fabio Massimo
124,CECCHETTI Fabrizio
134,CIPRINI Tiziana
150,COSTANZO Jessica
135,CIRIELLI Edmondo
158,CUNIAL Sara
139,COLLETTI Andrea
163,D'ATTIS Mauro
164,D'ERAMO Luigi
70,BOSCHI Maria Elena
167,D'IPPOLITO Giuseppe
161,D'AMBROSIO Giuseppe
162,D'ARRANDO Celeste
179,DE GIORGI Rosalba
73,BRESCIA Giuseppe
172,DAL MORO Gian Pietro
173,DALL'OSSO Matteo
188,DE TOMA Massimiliano
190,DEIDDA Salvatore
200,DI GIORGI Rosa Maria
80,BUSINAROLO Francesca
197,DELLA FRERA Guido
1,ACQUAROLI Francesco
221,FANTUZ Marica
204,DI MURO Flavio
205,DI SAN MARTINO LORENZATO DI IVREA Luis Roberto
980,LETTA Enrico
84,CAFFARATTO Gualtiero
228,FEDERICO Antonio
5,AIELLO Piera
209,DIENI Federica
4,AIELLO Davide
4,AIELLO Davide
218,ERMELLINO Alessandra
7,ALEMANNO Maria Soave
6,ALAIMO Roberta
244,FONTANA Gregorio
92,CANTINI Laura
223,FASANO Vincenzo
224,FASCINA Marta Antonia
93,CANTONE Carla
253,FRAGOMELI Gian Mario
95,CAON Roberto
262,FURGIUELE Domenico
242,FLATI Francesca
243,FOGLIANI Ketty
271,GALLO Luigi
101,CARBONARO Alessandra
104,CARELLI Emilio
289,GIARRIZZO Andrea
105,CARETTA Maria Cristina
274,GASTALDI Flavio
107,CARINELLI Paola
300,GRILLO Giulia
305,GUERINI Lorenzo
307,GUSMEROLI Alberto Luigi
310,INCERTI Antonella
317,LABRIOLA Vincenza
320,LATINI Giorgia
327,LIUNI Marzio
118,CATALDI Roberto
324,LEPRI Stefano
355,MANDELLI Andrea
357,MANZATO Franco
339,LOSACCO Alberto
368,MARTINO Antonio
127,CENTEMERO Giulio
374,MAZZETTI Erica
375,MELICCHIO Alessandro
379,MICELI Carmelo
130,CIABURRO Monica
387,MOLINARI Riccardo
131,CIAMPI Lucia
132,CILLIS Luciano
395,MORETTO Sara
396,MORGONI Mario
402,MURA Romina
380,MICILLO Salvatore
381,MIGLIORE Gennaro
405,MUSELLA Graziano
383,MILANATO Lorena
140,COLMELLERE Angela
419,OLGIATI Riccardo
394,MORELLI Alessandro
144,COMINARDI Claudio
426,PAGANI Alberto
148,CORTELAZZO Piergiorgio
409,NARDI Martina
154,CRISTINA Mirella
437,PARENTELA Paolo
159,CURRO' Giovanni
423,ORSINI ANDREA GIORGIO FELICE MARIA
430,PALAZZOTTO Erasmo
457,PICCHI Guglielmo
468,PORTAS Giacomo
170,DADONE Fabiana
171,DAGA Federica
176,DE CARLO Luca
177,DE CARLO Sabrina
474,PROVENZA Nicola
477,RACITI Fausto
497,ROSSI Andrea
182,DE LORENZO Rina
183,DE LUCA Piero
502,ROTELLI Mauro
511,SACCANI JOTTI
512,SAITTA Eugenio
517,SAPIA Francesco
499,ROSSINI Roberto
191,DEL BARBA Mauro
192,DEL BASSO DE CARO Umberto
503,ROTONDI Gianfranco
194,DEL MONACO Antonio
527,SCERRA Filippo
507,RUGGIERO Francesca Anna
536,SERRITELLA Davide
542,SILVESTRI Francesco
202,DI MAIO Luigi
550,SOVERINI Serse
551,SOZZANI Diego
519,SARRO Carlo
552,SPADAFORA Vincenzo
522,SAVINO Elvira
558,SQUERI Luca
534,SENSI Filippo
535,SERRACCHIANI Debora
214,DURIGON Claudio
572,TIRAMANI Paolo
538,SIANI Paolo
540,SIBILIA Cosimo
216,EMILIOZZI Mirella
586,TRIPODI Maria
2,ACUNZO Nicola
225,FASSINA Stefano
560,STUMPO Nicola
3,ADELIZZI Cosimo
562,SUT Luca
229,FEDRIGA Massimiliano
605,VIETINA Simona
612,VITO Elio
233,FERRI Cosimo Maria
619,ZANETTIN Pierantonio
234,FERRO Wanda
235,FIANO Emanuele
581,TRANCASSINI Paolo
236,FICARA Paolo
237,FICO Roberto
239,FIORAMONTI Lorenzo
8,AMITRANO Alessandro
241,FITZGERALD NISSOLI Fucsia
642,ASTORRE Bruno
593,VACCA Gianluca
597,VALLASCAS Andrea
250,FOSCOLO Sara
602,VERINI Walter
604,VIANELLO Giovanni
669,BOSSI Simone
670,BOSSI Umberto
617,ZAN Alessandro
258,FRATOIANNI Nicola
259,FREGOLENT Silvia
260,FRUSONE Luca
632,ACCOTO Rossella
633,AGOSTINELLI Donatella
643,AUDDINO Giuseppe
654,BERNINI Anna Maria
660,BITI Caterina
661,BOGO DELDEDDA Vittoria Francesca Maria
663,BONFRISCO Anna Cinzia
666,BONINO Emma
272,GARAVAGLIA Massimo
273,GARIGLIO Davide
275,GAVA Vannia
675,BRUZZONE Francesco
285,GIACOMETTI Antonietta
290,GIGLIO VIGNA Alessandro
294,GIULIANO Carla
295,GIULIODORI Paolo
296,GOBBATO Claudia
297,GOLINELLI Guglielmo
299,GRIBAUDO Chiara
304,GUBITOSA Michele
318,LACARRA Marco
326,LICATINI Caterina
329,LO MONTE Carmelo
334,LONGO Fausto
343,LUCCHINI Elena
345,MACCANTI Elena
348,MAGGIONI Marco
349,MAGI Riccardo
365,MARROCCO Patrizia
366,MARTINA Maurizio
382,MIGLIORINO Luca
389,MOLTENI Nicola
403,MURELLI Elena
415,NOJA Lisa
418,OCCHIUTO Roberto
421,ORLANDO Andrea
422,ORRICO Anna Laura
440,PASTORINO Luca
445,PEDRAZZINI Claudio
446,PELLA Roberto
448,PENNA Leonardo Salvatore
449,PENTANGELO Antonio
450,PERANTONI Mario
451,PERCONTI Filippo Giuseppe
464,POLIDORI Catia
466,POLVERINI Renata
469,POTENTI Manfredi
471,PRESTIPINO Patrizia
473,PRISCO Emanuele
479,RAFFA Angela
484,RICCIARDI Riccardo
485,RIPANI Elisabetta
488,RIZZO Gianluca
494,ROSATO Ettore
501,ROSTAN Michela
505,RUFFINO Daniela
513,SALAFIA Angela
514,SALTAMARTINI Barbara
516,SANTELLI Jole
518,SARLI Doriana
524,SCAGLIUSI Emanuele
525,SCALFAROTTO Ivan
526,SCANU Lucia
529,SCHULLIAN Manfred
531,SCUTELLA' Elisa
537,SGARBI Vittorio
543,SILVESTRI Rachele
554,SPENA Maria
557,SPORTIELLO Gilda
561,SURIANO Simona
564,TARANTINO Leonardo
571,TESTAMENTO Rosa Alba
577,TONDO Renzo
578,TONELLI Gianni
579,TOPO Raffaele
585,TRIPODI Elisa
589,TUCCI Riccardo
613,VIVIANI Lorenzo
614,VIZZINI Gloria
615,VOLPI Leda
616,VOLPI Raffaele
621,ZANICHELLI Davide
624,ZENNARO Antonio
625,ZICCHIERI Francesco
629,ZORDAN Adolfo
635,AIROLA Alberto
638,ALFIERI Alessandro
646,BALBONI Alberto
651,BELLANOVA Teresa
653,BERGESIO Giorgio Maria
655,BERTACCO Stefano
664,BONGIORNO Giulia
678,CALIENDO Giacomo
9,ANDREUZZA Giorgia
10,ANGELUCCI Antonio
18,ASCARI Stefania
20,BADOLE Mirco
12,ANNIBALI Lucia
25,BARBUTO Elisabetta Maria
26,BARELLI Paolo
14,APREA Valentina
29,BARTOLOZZI Giusi
31,BATTELLI Sergio
32,BATTILOCCHIO Alessandro
39,BENAMATI Gianluca
37,BELLUCCI Maria Teresa
38,BELOTTI Daniele
19,AZZOLINA Lucia
43,BENVENUTO Alessandro Manuel
44,BERARDINI Fabio
24,BARATTO Raffaele
27,BARONI Anna Lisa
