Rooduijn_Pauwels_Italian;Grundl_Italian_adapted;Decadri_Boussalis;Decadri_Boussalis_Grundl_People;Decadri_Boussalis_Grundl_Common Will;Decadri_Boussalis_Grundl_Elite
antidemocratic*;paure dei cittadini, paure della gente, paure del popolo;antidemocratic*;abitant*;senso comune;antidemocratic*
 casta;paure degli italiani;casta;cittadin*;buon senso;casta
 consens*;casta;consens*;consumator*;plebescitar*;consens*
 corrot*;presuntuos*;corrot*;contribuent*;referendum;corrot*
 disonest*;comun? cittadin?;disonest*;elettor*; plebiscito;disonest*
 elit* ;antidemocratic*;elit*;gente;petizione;elit*
establishment;spocchios?, superior?;establishment;popol?;democrazia diretta;establishment
 ingann*;spocchia, puzza sotto il naso, senso di superiorita;ingann*;popolazion?;volonta popolare;ingann*
 mentir*;a spese del popolo;mentir*;uomo della strada;voto popolare;mentir*
 menzogn*;a spese dei lavoratori;menzogn*;comun? mortal?;sovranita popolare;menzogn*
 partitocrazia;a spese dei cittadini;partitocrazia;italiano medio;mandato popolare;partitocrazia
 propagand*;a spese degli italiani;propagand*;uomo medio;;propagand*
 scandal*;a spese dell'italia;scandal*;;;scandal*
 tradim*;avvertimento;tradim*;;;tradim*
 tradir*;informare;tradir*;;;tradir*
 tradit*;lezione;tradit*;;;tradit*
 vergogn*;politicante;vergogn*;;;vergogn*
 verita;popolazione bianca;verita;;;verita
;paternalistic*;abitant*;;;presuntuos*
;pezz? gross?;cittadin*;;;spocchios*
;i cittadini sono stufi;consumator*;;;spocchia, puzza sotto il naso, senso di superiorita
;i cittadini ne hanno avuto abbastanza;contribuent*;;;politicant?
;i cittadini vogliono;elettor*;;;paternalistic*
;i cittadini pretendono;gente;;;pezz? gross?
;uomo della strada;popol*;;;burocrat?
;volonta popolare;;;;torre d avorio
;burocrat*;;;;solit? partit?, vecch? partit?
;disastr*;;;;corruzione
;tradizion? Italian?;;;;avid*
;democrazia diretta;;;;raccomandati
;italian? medi?;;;;arrogant*
;uomo medio;;;;attaccat? all? poltron?
;torre d avorio;;;;assetat? di potere
;elit*;;;;manipolare
;establishment;;;;nomenklatura
;solit? partit?;;;;professoron*
;vecch? partit?;;;;bugie dei partiti, falsita dei partiti
;corruzione;;;;mazzett?
;ingerenz? stranier?;;;;mercanteggiamenti
;per il popolo;;;;pseudo-partit?
;per la gente;;;;baron?
;contro il popolo italiano;;;;autocratic*
;la gente comune;;;;sistema-partito
;cittadin? onest?;;;;tecnocrat*
;uomini onesti;;;;altezzos*
;gente onesta;;;;non democratic*
;raccomandat?;;;;prendere in giro, bullarsi di
;senso comune;;;;clientelismo
;strampalat?;;;;dittatur* di partito
;arrogant*;;;;teatr* politico
;follia;;;;banchier?
;pazzi*;;;;cosiddett? giornalist?
;corrot*;;;;cosiddetti media
;attaccat? all? poltron?;;;;lobbist*
;assetat? di potere;;;;
;mafia;;;;
;manipolare;;;;
;ingannarre;;;;
;fregare;;;;
;insaziabil*;;;;
;nomenklatura;;;;
;cittadin? normal?;;;;
;comun? mortal?;;;;
;professoron*;;;;
;falsita dei partiti;;;;
;bugie dei partiti;;;;
;partito-cartello;;;;
;partiti-cartello;;;;
;partitocrazia;;;;
;mazzett*;;;;
;plebescitar*;;;;
;casta politica;;;;
;falliment? politic?;;;;
;mercanteggiamenti;;;;
;senza valori;;;;
;propaganda;;;;
;pseudo-partit?;;;;
;baron?;;;;
;irrealistic*;;;;
;brav? cittadin?;;;;
;buon? cittadin?;;;;
;avere il diritto di dire;;;;
;gente per bene;;;;
;autocratic*;;;;
;i cittadini resistono;;;;
;i cittadini difendono;;;;
;i cittadini combattono;;;;
;cosiddetti media;;;;
;cosiddett?;;;;
;fallimento dello stato;;;;
;i contribuenti pretendono;;;;
;sistema-partito;;;;
;ingann*;;;;
;tecnocrat*;;;;
;tradizion*;;;;
;altezzos*;;;;
;non democratic*;;;;
;disonest*;;;;
;noi cittadini;;;;
;insolenza;;;;
;impertinenza;;;;
;spocchia;;;;
;sfacciat*;;;;
;prendere in giro;;;;
;bullarsi di;;;;
;incrostat*;;;;
;clientelismo;;;;
;voto popolare;;;;
;mandato popolare;;;;
;referendum;;;;
;plebiscito;;;;
;petizione;;;;
;vicin? al popolo;;;;
;sovranità popolare;;;;
;il popolo vuole;;;;
;il popolo pretende;;;;
;gli elettori ne hanno avuto abbastanza;;;;
;pazz?;;;;
;traditor*;;;;
;il pubblico pretende;;;;
;il pubblico vuole;;;;
;i cittadini pretendono;;;;
;i cittadini vogliono;;;;
;la gente vuole;;;;
;la gente pretende;;;;
;i lavoratori pretendono;;;;
;i lavoratori vogliono;;;;
;ammett*;;;;
;opprimere gli italiani;;;;
;opprimere i contribuenti;;;;
;a scapito dei cittadini;;;;
;paur? degli italiani;;;;
;cosiddett? giornalist?;;;;
;lavorator? italian?;;;;
;dittatur* di partito;;;;
;teatr* politico;;;;
;cittadino medio;;;;
