,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
1,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
2,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
3,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
4,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
5,[255  64 137 137],0.44,0.0,0.04,0.05,0.35,0.0,0.13
6,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
7,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
8,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
9,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
10,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
11,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
12,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
13,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
14,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
15,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
16,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
17,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
18,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
19,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
20,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
21,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
22,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
23,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
24,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
25,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
26,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
27,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
28,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
29,[255  64 137 137],0.43,0.0,0.04,0.05,0.35,0.0,0.13
30,[255  64 137 137],0.44,0.0,0.04,0.05,0.35,0.0,0.13
31,[255  64 137 137],0.44,0.0,0.04,0.05,0.35,0.0,0.13
32,[255  64 137 137],0.44,0.0,0.04,0.05,0.35,0.0,0.13
33,[255  64 137 137],0.44,0.0,0.04,0.05,0.35,0.0,0.13
34,[255  64 137 137],0.44,0.0,0.04,0.04,0.35,0.0,0.13
35,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
36,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
37,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
38,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
39,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
40,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
41,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
42,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
43,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
44,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
45,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
46,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
47,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
48,[255  64 137 137],0.43,0.0,0.04,0.04,0.36,0.0,0.13
