,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[264  30  52  52],0.07,0.01,0.01,0.81,0.02,0.0,0.08
1,[265  31  51  51],0.06,0.0,0.03,0.84,0.01,0.0,0.06
2,[264  33  52  52],0.14,0.0,0.01,0.7,0.02,0.0,0.13
3,[264  33  52  52],0.14,0.0,0.02,0.66,0.02,0.0,0.15
4,[264  30  54  54],0.56,0.03,0.01,0.1,0.07,0.02,0.21
5,[265  29  57  57],0.18,0.0,0.01,0.57,0.04,0.01,0.19
6,[263  31  51  51],0.02,0.0,0.0,0.89,0.01,0.0,0.07
7,[264  31  51  51],0.01,0.0,0.0,0.93,0.01,0.0,0.05
8,[264  31  51  51],0.01,0.0,0.0,0.91,0.01,0.0,0.06
9,[264  30  52  52],0.05,0.0,0.0,0.84,0.01,0.0,0.09
10,[266  30  53  53],0.01,0.0,0.0,0.94,0.0,0.0,0.05
11,[266  30  53  53],0.01,0.0,0.0,0.97,0.0,0.0,0.02
12,[266  31  51  51],0.01,0.0,0.0,0.98,0.0,0.0,0.01
13,[265  29  53  53],0.01,0.0,0.0,0.96,0.0,0.0,0.02
14,[265  29  54  54],0.01,0.0,0.0,0.98,0.0,0.0,0.01
15,[265  28  52  52],0.02,0.0,0.0,0.88,0.0,0.0,0.09
16,[266  27  54  54],0.01,0.0,0.0,0.9,0.0,0.0,0.09
17,[266  27  54  54],0.01,0.0,0.0,0.91,0.0,0.0,0.08
18,[263  25  54  54],0.0,0.0,0.0,0.74,0.0,0.0,0.25
19,[264  24  54  54],0.01,0.0,0.01,0.81,0.01,0.0,0.16
20,[264  24  54  54],0.01,0.0,0.01,0.78,0.01,0.0,0.19
21,[265  26  53  53],0.01,0.0,0.01,0.74,0.0,0.0,0.24
22,[261  27  52  52],0.0,0.0,0.0,0.96,0.0,0.0,0.03
23,[265  27  53  53],0.01,0.0,0.0,0.94,0.0,0.0,0.05
24,[264  27  53  53],0.01,0.0,0.0,0.93,0.0,0.0,0.06
25,[264  26  54  54],0.01,0.0,0.0,0.89,0.0,0.0,0.1
26,[264  26  54  54],0.01,0.0,0.0,0.88,0.0,0.0,0.1
27,[263  26  54  54],0.06,0.0,0.02,0.43,0.04,0.0,0.45
28,[261  26  55  55],0.06,0.0,0.01,0.55,0.06,0.0,0.33
29,[262  25  57  57],0.07,0.0,0.02,0.37,0.11,0.0,0.42
30,[264  25  57  57],0.11,0.0,0.03,0.45,0.09,0.0,0.32
31,[261  25  57  57],0.08,0.0,0.03,0.48,0.07,0.0,0.34
32,[261  25  57  57],0.08,0.0,0.03,0.48,0.07,0.0,0.34
