,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[104 125 136 136],0.18,0.0,0.42,0.01,0.32,0.04,0.03
1,[103 127 132 132],0.19,0.0,0.25,0.0,0.47,0.05,0.04
2,[100 127 133 133],0.23,0.0,0.21,0.01,0.45,0.05,0.05
3,[ 96 127 137 137],0.23,0.0,0.28,0.01,0.4,0.05,0.03
4,[ 92 126 142 142],0.27,0.01,0.26,0.01,0.34,0.05,0.06
5,[ 87 127 142 142],0.31,0.0,0.34,0.01,0.16,0.13,0.05
6,[ 88 128 139 139],0.31,0.0,0.29,0.01,0.16,0.16,0.07
7,[ 88 128 139 139],0.31,0.0,0.3,0.01,0.16,0.16,0.07
8,[ 82 126 146 146],0.29,0.0,0.28,0.01,0.07,0.32,0.03
9,[ 83 128 145 145],0.33,0.01,0.37,0.0,0.12,0.13,0.04
10,[ 83 129 146 146],0.24,0.0,0.33,0.0,0.12,0.26,0.04
11,[ 82 128 147 147],0.31,0.01,0.31,0.0,0.11,0.22,0.04
12,[311 218  63  63],0.03,0.0,0.05,0.34,0.13,0.03,0.42
13,[311 218  63  63],0.03,0.0,0.05,0.34,0.13,0.03,0.42
14,[307 218  88  88],0.0,0.0,0.03,0.17,0.05,0.13,0.63
15,[310 222  88  88],0.01,0.0,0.02,0.2,0.05,0.09,0.64
16,[315 230  82  82],0.0,0.0,0.02,0.18,0.07,0.03,0.69
17,[314 232  84  84],0.01,0.0,0.04,0.29,0.06,0.15,0.45
18,[315 234  86  86],0.02,0.0,0.03,0.17,0.07,0.12,0.59
19,[314 236  86  86],0.02,0.0,0.04,0.14,0.06,0.14,0.61
20,[317 236  86  86],0.02,0.0,0.02,0.17,0.05,0.08,0.65
21,[321 239  82  82],0.02,0.0,0.03,0.08,0.07,0.05,0.75
22,[321 240  83  83],0.02,0.0,0.06,0.07,0.05,0.09,0.71
23,[320 240  84  84],0.03,0.0,0.06,0.13,0.05,0.03,0.7
24,[319 240  84  84],0.02,0.0,0.04,0.15,0.05,0.04,0.7
25,[318 240  84  84],0.07,0.0,0.06,0.15,0.09,0.09,0.54
26,[318 240  84  84],0.01,0.0,0.03,0.15,0.04,0.09,0.68
27,[316 237  85  85],0.03,0.0,0.04,0.16,0.07,0.08,0.61
28,[315 236  86  86],0.02,0.0,0.03,0.22,0.07,0.14,0.52
29,[315 236  86  86],0.02,0.0,0.03,0.22,0.07,0.15,0.52
30,[314 235  86  86],0.02,0.0,0.03,0.19,0.04,0.16,0.56
31,[314 236  86  86],0.01,0.0,0.02,0.25,0.03,0.19,0.5
32,[315 235  86  86],0.02,0.0,0.02,0.26,0.04,0.13,0.54
33,[315 236  86  86],0.01,0.0,0.02,0.22,0.03,0.13,0.59
34,[315 236  86  86],0.01,0.0,0.02,0.22,0.03,0.15,0.58
35,[317 239  82  82],0.02,0.0,0.04,0.09,0.07,0.04,0.74
36,[318 239  84  84],0.03,0.0,0.03,0.13,0.07,0.09,0.66
37,[317 239  85  85],0.03,0.0,0.03,0.13,0.04,0.04,0.72
38,[317 239  85  85],0.05,0.0,0.07,0.1,0.05,0.05,0.69
39,[319 241  82  82],0.02,0.0,0.05,0.07,0.04,0.08,0.74
40,[320 242  83  83],0.02,0.0,0.03,0.07,0.04,0.04,0.8
41,[320 242  83  83],0.02,0.0,0.03,0.08,0.04,0.04,0.79
42,[321 243  82  82],0.01,0.0,0.02,0.11,0.03,0.01,0.82
43,[322 244  81  81],0.01,0.0,0.02,0.11,0.03,0.02,0.8
44,[320 244  82  82],0.01,0.0,0.01,0.05,0.03,0.01,0.89
45,[323 246  81  81],0.01,0.0,0.02,0.14,0.02,0.03,0.78
46,[322 245  83  83],0.03,0.0,0.02,0.1,0.04,0.03,0.78
47,[323 245  81  81],0.01,0.0,0.02,0.19,0.03,0.03,0.73
48,[323 246  82  82],0.02,0.0,0.03,0.08,0.05,0.02,0.79
49,[323 246  81  81],0.01,0.0,0.01,0.07,0.02,0.01,0.87
50,[325 247  80  80],0.01,0.0,0.02,0.1,0.01,0.07,0.78
51,[324 247  82  82],0.02,0.0,0.03,0.08,0.03,0.02,0.83
52,[327 248  79  79],0.02,0.0,0.03,0.15,0.01,0.09,0.7
53,[327 248  79  79],0.03,0.0,0.03,0.12,0.01,0.09,0.72
54,[326 247  80  80],0.02,0.0,0.03,0.07,0.02,0.04,0.82
55,[326 248  79  79],0.03,0.0,0.03,0.09,0.02,0.06,0.77
56,[326 248  80  80],0.02,0.0,0.04,0.12,0.01,0.03,0.78
57,[325 248  80  80],0.02,0.0,0.03,0.06,0.02,0.04,0.84
58,[324 249  80  80],0.01,0.0,0.02,0.06,0.05,0.01,0.84
59,[325 249  80  80],0.01,0.0,0.03,0.08,0.04,0.03,0.81
60,[324 250  80  80],0.03,0.0,0.03,0.1,0.05,0.05,0.74
61,[324 250  80  80],0.02,0.0,0.03,0.09,0.03,0.04,0.78
62,[325 251  79  79],0.04,0.0,0.04,0.16,0.04,0.04,0.68
63,[326 253  76  76],0.02,0.0,0.04,0.11,0.05,0.02,0.75
64,[327 253  75  75],0.02,0.0,0.05,0.11,0.02,0.03,0.76
65,[327 253  75  75],0.04,0.0,0.05,0.12,0.02,0.04,0.73
66,[327 253  76  76],0.02,0.0,0.06,0.1,0.03,0.05,0.74
67,[326 251  78  78],0.02,0.0,0.03,0.11,0.02,0.03,0.79
68,[327 252  77  77],0.04,0.0,0.05,0.09,0.04,0.04,0.74
69,[328 251  77  77],0.03,0.0,0.05,0.14,0.02,0.05,0.71
