,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[ 58 119 139 139],0.34,0.0,0.11,0.0,0.41,0.01,0.14
1,[ 59 120 137 137],0.35,0.0,0.12,0.01,0.34,0.01,0.17
2,[ 61 122 133 133],0.44,0.0,0.05,0.01,0.24,0.01,0.24
3,[ 59 123 134 134],0.26,0.0,0.19,0.0,0.36,0.01,0.18
4,[ 59 123 134 134],0.29,0.0,0.15,0.0,0.44,0.0,0.11
5,[ 59 123 135 135],0.32,0.0,0.26,0.0,0.31,0.01,0.09
6,[ 60 126 132 132],0.08,0.0,0.33,0.0,0.48,0.01,0.1
7,[ 59 126 132 132],0.15,0.0,0.27,0.0,0.41,0.01,0.16
8,[ 60 126 131 131],0.3,0.0,0.21,0.0,0.33,0.02,0.13
9,[ 58 125 135 135],0.4,0.0,0.1,0.0,0.35,0.01,0.13
10,[ 58 126 135 135],0.33,0.0,0.12,0.0,0.38,0.01,0.16
11,[ 59 127 134 134],0.31,0.0,0.11,0.0,0.38,0.01,0.19
12,[ 60 127 133 133],0.41,0.0,0.08,0.0,0.34,0.01,0.16
13,[ 60 128 131 131],0.35,0.0,0.11,0.01,0.34,0.01,0.18
14,[ 56 126 137 137],0.44,0.0,0.06,0.0,0.33,0.0,0.16
15,[ 53 124 140 140],0.41,0.0,0.08,0.0,0.4,0.0,0.11
16,[ 54 124 138 138],0.58,0.0,0.06,0.0,0.27,0.0,0.08
17,[ 52 123 139 139],0.54,0.0,0.08,0.0,0.31,0.0,0.07
18,[ 53 123 137 137],0.42,0.0,0.11,0.01,0.37,0.01,0.09
19,[ 53 123 137 137],0.46,0.0,0.09,0.01,0.33,0.01,0.1
20,[ 52 123 137 137],0.37,0.0,0.12,0.02,0.29,0.01,0.2
21,[ 53 123 136 136],0.44,0.0,0.13,0.01,0.3,0.01,0.12
22,[ 51 122 138 138],0.42,0.0,0.17,0.01,0.28,0.01,0.12
23,[ 54 123 136 136],0.34,0.0,0.12,0.02,0.31,0.01,0.19
24,[ 52 121 139 139],0.36,0.0,0.17,0.0,0.36,0.01,0.1
25,[ 55 123 134 134],0.27,0.0,0.15,0.01,0.37,0.02,0.17
26,[ 54 119 137 137],0.34,0.0,0.14,0.0,0.46,0.0,0.06
27,[ 53 119 136 136],0.26,0.0,0.2,0.0,0.47,0.01,0.06
28,[ 51 118 137 137],0.27,0.0,0.23,0.0,0.44,0.01,0.05
29,[ 49 116 137 137],0.16,0.0,0.28,0.0,0.51,0.01,0.03
30,[ 47 112 138 138],0.16,0.0,0.4,0.0,0.39,0.01,0.04
31,[ 46 111 138 138],0.23,0.0,0.32,0.0,0.42,0.0,0.02
32,[ 45 110 137 137],0.28,0.0,0.4,0.0,0.3,0.0,0.01
33,[ 44 109 135 135],0.19,0.0,0.47,0.0,0.32,0.01,0.02
34,[ 40 107 139 139],0.15,0.0,0.45,0.0,0.37,0.01,0.02
35,[155 118  56  56],0.03,0.0,0.01,0.52,0.02,0.13,0.28
