,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[152  48 126 126],0.07,0.0,0.06,0.12,0.17,0.0,0.59
1,[152  48 126 126],0.06,0.0,0.06,0.12,0.17,0.0,0.59
2,[148  46 127 127],0.11,0.0,0.04,0.1,0.16,0.0,0.58
3,[144  46 127 127],0.14,0.0,0.02,0.07,0.14,0.0,0.62
4,[140  46 127 127],0.09,0.0,0.02,0.11,0.12,0.0,0.66
5,[136  48 127 127],0.08,0.0,0.04,0.05,0.11,0.0,0.72
6,[132  48 125 125],0.13,0.0,0.05,0.06,0.21,0.0,0.54
7,[130  51 122 122],0.15,0.0,0.06,0.08,0.17,0.01,0.53
8,[125  50 123 123],0.15,0.0,0.05,0.04,0.22,0.0,0.54
9,[120  52 120 120],0.13,0.0,0.13,0.02,0.43,0.0,0.28
10,[116  52 120 120],0.12,0.0,0.11,0.02,0.52,0.0,0.21
11,[115  53 115 115],0.2,0.0,0.13,0.07,0.29,0.01,0.31
12,[111  53 118 118],0.16,0.0,0.13,0.03,0.41,0.0,0.26
13,[107  53 123 123],0.15,0.0,0.08,0.06,0.33,0.0,0.37
14,[101  51 127 127],0.09,0.0,0.06,0.03,0.48,0.0,0.33
15,[ 99  51 128 128],0.11,0.0,0.08,0.05,0.44,0.0,0.32
16,[ 96  50 132 132],0.15,0.0,0.05,0.06,0.34,0.0,0.39
17,[ 95  50 132 132],0.17,0.0,0.06,0.11,0.42,0.01,0.23
18,[ 94  51 132 132],0.12,0.0,0.07,0.12,0.46,0.01,0.23
19,[ 93  50 133 133],0.27,0.0,0.06,0.14,0.34,0.01,0.18
20,[ 93  50 133 133],0.27,0.0,0.06,0.14,0.33,0.01,0.18
21,[ 90  49 138 138],0.23,0.0,0.06,0.19,0.32,0.02,0.18
22,[ 90  50 135 135],0.16,0.0,0.12,0.1,0.5,0.04,0.08
23,[ 86  49 140 140],0.17,0.0,0.12,0.22,0.3,0.06,0.13
24,[ 89  52 134 134],0.09,0.0,0.25,0.02,0.56,0.03,0.04
25,[ 86  52 138 138],0.09,0.0,0.14,0.27,0.2,0.13,0.17
26,[ 88  53 135 135],0.11,0.0,0.21,0.06,0.47,0.06,0.08
27,[ 86  52 138 138],0.12,0.0,0.21,0.14,0.25,0.21,0.08
28,[ 85  51 141 141],0.11,0.0,0.18,0.1,0.27,0.14,0.21
29,[ 86  51 139 139],0.12,0.0,0.2,0.02,0.35,0.12,0.19
30,[ 86  52 139 139],0.17,0.0,0.21,0.01,0.2,0.26,0.14
31,[ 86  53 137 137],0.12,0.0,0.2,0.01,0.27,0.17,0.23
32,[ 85  55 136 136],0.1,0.0,0.14,0.01,0.35,0.14,0.26
33,[ 86  56 137 137],0.16,0.0,0.1,0.01,0.22,0.23,0.28
34,[ 84  56 137 137],0.14,0.0,0.1,0.01,0.3,0.1,0.35
35,[ 82  57 136 136],0.11,0.0,0.16,0.0,0.26,0.05,0.41
36,[ 79  56 139 139],0.23,0.0,0.13,0.01,0.23,0.06,0.34
37,[ 80  57 135 135],0.19,0.0,0.04,0.01,0.12,0.04,0.61
38,[ 81  60 125 125],0.06,0.0,0.02,0.01,0.14,0.0,0.76
39,[ 80  59 127 127],0.05,0.0,0.02,0.01,0.12,0.01,0.8
40,[ 78  56 131 131],0.1,0.0,0.03,0.0,0.14,0.01,0.72
41,[ 79  57 122 122],0.16,0.0,0.04,0.01,0.16,0.01,0.62
42,[ 74  54 131 131],0.47,0.0,0.04,0.0,0.09,0.02,0.38
43,[ 77  53 123 123],0.17,0.0,0.13,0.01,0.06,0.46,0.17
44,[ 74  49 127 127],0.15,0.0,0.1,0.01,0.03,0.62,0.09
45,[ 69  46 137 137],0.25,0.0,0.04,0.01,0.07,0.24,0.4
46,[ 72  46 134 134],0.21,0.0,0.05,0.01,0.17,0.05,0.5
47,[ 74  48 132 132],0.19,0.0,0.04,0.02,0.11,0.03,0.61
48,[ 73  50 136 136],0.11,0.0,0.04,0.02,0.09,0.04,0.7
49,[ 69  48 144 144],0.09,0.0,0.03,0.01,0.11,0.08,0.68
50,[ 67  50 143 143],0.11,0.0,0.02,0.01,0.16,0.04,0.66
51,[ 66  52 147 147],0.13,0.0,0.02,0.03,0.12,0.01,0.69
52,[ 68  56 141 141],0.09,0.0,0.03,0.03,0.11,0.02,0.73
53,[ 64  53 152 152],0.18,0.0,0.02,0.04,0.25,0.02,0.48
54,[ 66  55 150 150],0.14,0.0,0.05,0.03,0.34,0.08,0.36
55,[ 68  57 149 149],0.25,0.0,0.04,0.04,0.31,0.07,0.29
56,[ 69  58 148 148],0.17,0.0,0.06,0.04,0.26,0.09,0.37
57,[ 74  62 142 142],0.11,0.0,0.05,0.02,0.17,0.15,0.5
58,[ 74  62 142 142],0.12,0.0,0.04,0.02,0.17,0.13,0.51
59,[ 74  61 143 143],0.09,0.0,0.02,0.01,0.14,0.1,0.64
60,[ 76  61 143 143],0.09,0.0,0.03,0.01,0.09,0.23,0.54
61,[ 79  63 138 138],0.16,0.0,0.08,0.01,0.18,0.22,0.35
62,[ 80  64 138 138],0.15,0.0,0.07,0.01,0.18,0.17,0.42
63,[ 80  64 138 138],0.12,0.0,0.07,0.01,0.21,0.1,0.49
64,[ 80  63 138 138],0.12,0.0,0.07,0.03,0.3,0.2,0.28
65,[ 80  61 140 140],0.22,0.0,0.07,0.03,0.26,0.26,0.16
66,[ 76  61 147 147],0.1,0.0,0.02,0.02,0.11,0.04,0.7
67,[ 78  63 142 142],0.17,0.0,0.05,0.03,0.24,0.11,0.4
68,[ 79  64 143 143],0.12,0.0,0.05,0.02,0.23,0.04,0.54
69,[ 77  64 145 145],0.13,0.0,0.04,0.02,0.12,0.04,0.65
70,[ 78  64 142 142],0.08,0.0,0.09,0.07,0.14,0.26,0.36
71,[ 76  64 145 145],0.09,0.0,0.05,0.05,0.2,0.12,0.5
72,[ 74  63 148 148],0.08,0.0,0.04,0.03,0.16,0.06,0.63
73,[ 74  64 146 146],0.07,0.0,0.06,0.06,0.13,0.15,0.52
74,[ 75  65 147 147],0.08,0.0,0.1,0.06,0.2,0.21,0.34
75,[ 70  62 158 158],0.09,0.0,0.03,0.05,0.15,0.03,0.65
76,[ 74  65 152 152],0.2,0.0,0.1,0.1,0.25,0.12,0.23
77,[ 74  66 151 151],0.16,0.0,0.09,0.1,0.24,0.12,0.28
78,[ 72  63 158 158],0.1,0.0,0.07,0.19,0.43,0.04,0.16
79,[ 71  61 158 158],0.03,0.0,0.04,0.21,0.31,0.04,0.37
80,[ 72  61 158 158],0.11,0.0,0.1,0.09,0.29,0.07,0.34
81,[ 74  62 159 159],0.09,0.0,0.05,0.22,0.07,0.06,0.51
82,[ 76  64 154 154],0.14,0.0,0.07,0.09,0.07,0.05,0.58
83,[ 79  65 152 152],0.1,0.0,0.12,0.06,0.14,0.01,0.56
84,[ 79  65 151 151],0.09,0.0,0.17,0.04,0.14,0.01,0.55
85,[ 79  64 150 150],0.13,0.0,0.23,0.02,0.14,0.02,0.46
86,[ 81  65 147 147],0.11,0.0,0.25,0.02,0.19,0.01,0.42
87,[ 80  63 149 149],0.08,0.0,0.07,0.03,0.12,0.01,0.7
88,[ 79  62 150 150],0.06,0.0,0.03,0.08,0.08,0.0,0.75
89,[ 79  63 148 148],0.05,0.0,0.05,0.07,0.12,0.01,0.7
90,[ 79  63 148 148],0.05,0.0,0.08,0.14,0.1,0.01,0.63
91,[ 79  62 150 150],0.19,0.0,0.09,0.19,0.16,0.01,0.36
92,[ 78  62 149 149],0.03,0.0,0.03,0.32,0.06,0.01,0.55
93,[ 77  61 152 152],0.04,0.0,0.03,0.3,0.05,0.02,0.56
94,[ 77  61 151 151],0.02,0.0,0.02,0.3,0.05,0.01,0.6
95,[ 77  62 150 150],0.05,0.0,0.06,0.27,0.07,0.05,0.5
96,[ 77  62 150 150],0.05,0.0,0.06,0.28,0.08,0.05,0.49
97,[ 77  62 151 151],0.09,0.0,0.09,0.29,0.1,0.05,0.37
98,[ 78  63 149 149],0.14,0.0,0.14,0.18,0.14,0.08,0.33
99,[ 78  63 150 150],0.13,0.0,0.1,0.19,0.11,0.05,0.42
100,[ 78  62 151 151],0.1,0.0,0.08,0.25,0.09,0.07,0.42
101,[ 80  63 147 147],0.08,0.0,0.23,0.22,0.12,0.09,0.25
102,[ 79  62 149 149],0.08,0.0,0.11,0.27,0.12,0.05,0.38
103,[ 78  62 151 151],0.21,0.0,0.1,0.14,0.12,0.03,0.39
104,[ 80  62 150 150],0.11,0.0,0.12,0.36,0.12,0.06,0.23
105,[ 80  62 149 149],0.05,0.0,0.1,0.31,0.11,0.03,0.41
106,[ 80  62 150 150],0.09,0.0,0.11,0.3,0.16,0.06,0.29
107,[ 82  63 148 148],0.09,0.0,0.15,0.36,0.17,0.12,0.1
108,[ 82  63 149 149],0.14,0.0,0.2,0.18,0.26,0.18,0.04
109,[ 83  63 148 148],0.12,0.0,0.16,0.14,0.46,0.09,0.02
110,[ 81  62 151 151],0.07,0.0,0.05,0.04,0.8,0.01,0.02
111,[ 80  61 152 152],0.07,0.0,0.07,0.07,0.75,0.02,0.03
112,[ 80  62 152 152],0.25,0.0,0.21,0.06,0.36,0.09,0.02
113,[ 80  58 153 153],0.34,0.0,0.12,0.03,0.45,0.05,0.01
114,[ 82  58 150 150],0.5,0.0,0.16,0.01,0.31,0.02,0.0
115,[ 82  58 151 151],0.48,0.0,0.16,0.03,0.29,0.03,0.0
116,[ 81  54 151 151],0.43,0.0,0.23,0.0,0.26,0.05,0.02
117,[ 86  54 140 140],0.47,0.0,0.13,0.02,0.17,0.2,0.01
118,[ 87  52 140 140],0.12,0.0,0.19,0.01,0.27,0.35,0.06
119,[ 87  47 140 140],0.41,0.0,0.04,0.01,0.27,0.02,0.25
120,[ 88  46 140 140],0.53,0.0,0.05,0.02,0.24,0.04,0.11
121,[ 89  45 138 138],0.46,0.0,0.08,0.01,0.35,0.05,0.06
122,[ 90  45 136 136],0.42,0.0,0.1,0.01,0.39,0.03,0.06
123,[ 91  45 137 137],0.3,0.0,0.15,0.04,0.39,0.05,0.07
124,[ 89  45 141 141],0.16,0.0,0.16,0.03,0.39,0.16,0.11
125,[ 90  47 139 139],0.2,0.0,0.17,0.02,0.4,0.06,0.15
126,[ 92  48 137 137],0.14,0.0,0.18,0.01,0.53,0.01,0.13
127,[ 89  49 140 140],0.07,0.0,0.13,0.0,0.75,0.0,0.04
128,[ 89  51 140 140],0.11,0.0,0.15,0.01,0.69,0.0,0.04
129,[ 86  52 145 145],0.17,0.0,0.15,0.01,0.6,0.0,0.06
130,[ 83  51 152 152],0.06,0.0,0.08,0.01,0.83,0.0,0.02
131,[ 81  55 154 154],0.33,0.0,0.19,0.03,0.42,0.01,0.01
132,[ 85  57 150 150],0.45,0.0,0.18,0.02,0.34,0.01,0.0
133,[ 89  62 142 142],0.37,0.0,0.4,0.01,0.21,0.02,0.0
134,[ 88  62 143 143],0.39,0.0,0.37,0.0,0.22,0.01,0.0
135,[ 89  61 144 144],0.36,0.0,0.3,0.01,0.3,0.03,0.0
136,[ 83  58 153 153],0.15,0.0,0.15,0.17,0.41,0.07,0.05
137,[ 83  59 155 155],0.16,0.0,0.21,0.04,0.48,0.05,0.06
138,[ 81  60 153 153],0.2,0.0,0.21,0.01,0.32,0.03,0.25
139,[ 85  63 146 146],0.13,0.0,0.29,0.0,0.38,0.01,0.18
140,[ 86  64 144 144],0.16,0.0,0.24,0.0,0.44,0.01,0.15
141,[ 86  67 142 142],0.09,0.0,0.21,0.01,0.54,0.01,0.14
142,[ 84  68 147 147],0.12,0.0,0.18,0.01,0.52,0.01,0.16
143,[ 85  70 149 149],0.16,0.0,0.17,0.04,0.45,0.02,0.17
144,[ 85  72 149 149],0.28,0.0,0.06,0.04,0.38,0.01,0.23
145,[ 85  72 148 148],0.17,0.0,0.08,0.09,0.37,0.01,0.28
146,[ 83  73 146 146],0.1,0.0,0.05,0.14,0.34,0.0,0.36
147,[ 79  72 144 144],0.27,0.0,0.11,0.15,0.32,0.02,0.13
148,[ 76  72 143 143],0.32,0.01,0.09,0.13,0.25,0.01,0.19
149,[ 74  76 136 136],0.2,0.01,0.07,0.19,0.23,0.01,0.3
150,[ 70  74 136 136],0.49,0.02,0.06,0.03,0.26,0.01,0.12
151,[ 66  74 137 137],0.44,0.01,0.15,0.01,0.32,0.0,0.07
152,[ 68  72 137 137],0.48,0.01,0.11,0.01,0.27,0.0,0.12
153,[ 68  71 140 140],0.54,0.02,0.09,0.01,0.23,0.0,0.1
154,[ 66  72 138 138],0.4,0.02,0.11,0.03,0.34,0.01,0.1
155,[ 64  70 142 142],0.49,0.0,0.09,0.04,0.16,0.01,0.21
156,[ 61  70 146 146],0.64,0.0,0.05,0.04,0.12,0.0,0.14
157,[ 63  68 145 145],0.65,0.0,0.08,0.03,0.14,0.01,0.09
158,[ 65  68 146 146],0.45,0.0,0.11,0.04,0.27,0.0,0.13
159,[ 70  69 140 140],0.19,0.06,0.12,0.02,0.51,0.0,0.11
160,[ 68  67 146 146],0.14,0.01,0.08,0.04,0.6,0.0,0.14
161,[ 74  68 138 138],0.19,0.0,0.16,0.0,0.42,0.0,0.23
162,[ 76  66 138 138],0.24,0.0,0.17,0.0,0.36,0.0,0.23
163,[ 78  65 136 136],0.23,0.0,0.24,0.0,0.34,0.01,0.18
164,[ 78  63 139 139],0.18,0.0,0.2,0.0,0.3,0.01,0.31
165,[ 83  65 136 136],0.23,0.0,0.38,0.0,0.17,0.16,0.06
166,[ 84  63 139 139],0.16,0.0,0.38,0.02,0.2,0.2,0.04
167,[ 83  61 147 147],0.19,0.0,0.21,0.04,0.42,0.05,0.09
168,[ 83  61 149 149],0.16,0.0,0.13,0.05,0.34,0.03,0.29
169,[ 84  63 147 147],0.14,0.01,0.16,0.04,0.45,0.01,0.2
170,[ 87  65 145 145],0.11,0.01,0.1,0.07,0.53,0.01,0.16
171,[ 88  66 145 145],0.08,0.0,0.1,0.13,0.51,0.03,0.14
172,[ 88  65 146 146],0.11,0.02,0.08,0.13,0.51,0.02,0.11
173,[ 88  66 147 147],0.08,0.0,0.12,0.16,0.43,0.08,0.13
174,[ 89  67 146 146],0.07,0.0,0.17,0.11,0.47,0.08,0.09
175,[ 88  67 148 148],0.06,0.0,0.18,0.21,0.39,0.08,0.08
176,[ 89  68 146 146],0.05,0.0,0.22,0.2,0.34,0.06,0.12
177,[ 90  68 147 147],0.03,0.0,0.17,0.2,0.38,0.02,0.19
178,[ 91  69 146 146],0.04,0.01,0.1,0.19,0.57,0.01,0.08
179,[ 92  69 146 146],0.03,0.01,0.06,0.19,0.61,0.01,0.09
180,[ 92  68 147 147],0.05,0.0,0.15,0.15,0.45,0.08,0.12
181,[ 92  68 148 148],0.06,0.01,0.11,0.36,0.29,0.07,0.12
182,[ 95  68 145 145],0.05,0.0,0.12,0.07,0.66,0.04,0.06
183,[ 94  67 148 148],0.07,0.01,0.15,0.17,0.5,0.05,0.06
184,[ 96  68 145 145],0.09,0.01,0.16,0.14,0.43,0.07,0.11
185,[ 94  68 149 149],0.09,0.01,0.16,0.26,0.34,0.06,0.08
186,[ 93  67 152 152],0.1,0.0,0.13,0.25,0.37,0.05,0.1
187,[ 92  68 152 152],0.2,0.0,0.14,0.24,0.27,0.04,0.11
188,[ 93  67 152 152],0.13,0.01,0.12,0.25,0.33,0.05,0.11
189,[ 94  68 151 151],0.21,0.01,0.13,0.18,0.21,0.06,0.19
190,[ 93  68 152 152],0.37,0.01,0.1,0.1,0.17,0.01,0.23
191,[ 94  68 152 152],0.34,0.01,0.11,0.12,0.14,0.02,0.26
192,[ 92  66 155 155],0.14,0.0,0.05,0.21,0.12,0.01,0.47
193,[ 95  67 150 150],0.17,0.02,0.09,0.14,0.18,0.01,0.38
194,[ 94  67 151 151],0.28,0.02,0.09,0.12,0.16,0.01,0.32
195,[ 95  68 148 148],0.27,0.02,0.09,0.04,0.29,0.02,0.26
196,[ 95  69 145 145],0.32,0.01,0.24,0.02,0.29,0.04,0.07
197,[ 92  67 149 149],0.19,0.0,0.18,0.03,0.35,0.04,0.2
198,[ 91  68 150 150],0.29,0.0,0.16,0.02,0.4,0.03,0.09
199,[ 93  70 146 146],0.2,0.0,0.14,0.0,0.52,0.01,0.14
200,[ 91  68 145 145],0.11,0.0,0.25,0.0,0.48,0.01,0.15
201,[ 93  67 144 144],0.03,0.0,0.16,0.0,0.73,0.0,0.08
202,[ 89  65 148 148],0.03,0.0,0.15,0.0,0.54,0.0,0.27
