,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
1,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
2,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
3,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
4,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
5,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
6,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
7,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
8,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
9,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
10,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
11,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
12,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
13,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
14,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
15,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.04,0.0,0.41
16,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
17,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
18,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
19,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
20,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
21,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
22,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
23,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
24,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
25,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
26,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
27,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
28,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
29,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
30,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
31,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
32,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
33,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
34,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
35,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
36,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
37,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
38,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
39,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
40,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
41,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
42,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
43,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
44,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
45,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
46,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
47,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
48,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
49,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
50,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
51,[ 57 105 230 230],0.01,0.0,0.0,0.55,0.03,0.0,0.41
52,[ 56 103 237 237],0.01,0.0,0.01,0.36,0.17,0.0,0.45
53,[ 56 104 237 237],0.01,0.0,0.01,0.45,0.11,0.0,0.42
54,[ 54 103 239 239],0.01,0.0,0.01,0.36,0.18,0.0,0.44
55,[ 54 101 241 241],0.01,0.0,0.01,0.33,0.18,0.0,0.47
56,[ 54 101 241 241],0.01,0.0,0.01,0.31,0.19,0.0,0.48
57,[ 55 103 240 240],0.01,0.0,0.01,0.5,0.15,0.0,0.33
58,[ 55 103 240 240],0.01,0.0,0.01,0.5,0.11,0.0,0.37
59,[ 57 103 242 242],0.02,0.0,0.01,0.31,0.15,0.0,0.51
60,[ 56 101 242 242],0.01,0.0,0.01,0.49,0.1,0.0,0.39
61,[ 58 101 242 242],0.02,0.0,0.01,0.41,0.1,0.0,0.46
62,[ 61 102 240 240],0.02,0.0,0.01,0.28,0.15,0.0,0.53
63,[ 62 103 238 238],0.02,0.0,0.02,0.29,0.19,0.0,0.48
64,[ 61 101 243 243],0.01,0.0,0.01,0.33,0.16,0.0,0.49
65,[ 62 101 242 242],0.01,0.0,0.01,0.39,0.09,0.0,0.5
66,[ 63 102 240 240],0.02,0.0,0.03,0.29,0.11,0.0,0.55
67,[ 62 102 242 242],0.01,0.0,0.0,0.4,0.02,0.0,0.57
68,[ 61 101 244 244],0.01,0.0,0.01,0.27,0.05,0.0,0.67
69,[ 63 102 242 242],0.03,0.0,0.03,0.38,0.09,0.0,0.47
70,[ 64 104 240 240],0.03,0.0,0.03,0.17,0.14,0.0,0.62
71,[ 62 103 243 243],0.03,0.0,0.04,0.24,0.15,0.0,0.54
72,[ 62 104 241 241],0.03,0.0,0.03,0.15,0.13,0.0,0.66
73,[ 59 102 245 245],0.05,0.0,0.02,0.35,0.09,0.0,0.49
74,[ 56 101 248 248],0.05,0.0,0.03,0.34,0.07,0.0,0.51
75,[ 52  99 252 252],0.02,0.0,0.01,0.41,0.05,0.0,0.52
76,[ 54  99 248 248],0.04,0.0,0.01,0.23,0.05,0.0,0.68
77,[ 54  97 247 247],0.04,0.0,0.01,0.51,0.05,0.0,0.39
78,[ 52  96 248 248],0.01,0.0,0.01,0.43,0.06,0.0,0.48
79,[ 49  94 251 251],0.03,0.0,0.02,0.38,0.09,0.0,0.47
80,[ 49  93 253 253],0.04,0.0,0.02,0.52,0.08,0.0,0.33
81,[ 49  93 252 252],0.03,0.0,0.01,0.61,0.05,0.0,0.3
82,[ 49  93 253 253],0.02,0.0,0.01,0.77,0.03,0.0,0.17
83,[ 49  94 251 251],0.01,0.0,0.0,0.72,0.02,0.0,0.25
84,[ 50  95 251 251],0.01,0.0,0.0,0.84,0.03,0.0,0.12
85,[ 49  95 252 252],0.0,0.0,0.0,0.87,0.02,0.0,0.1
86,[ 51  96 251 251],0.0,0.0,0.0,0.92,0.01,0.0,0.06
87,[ 50  96 250 250],0.01,0.0,0.0,0.78,0.04,0.0,0.17
88,[ 51  98 248 248],0.0,0.0,0.0,0.78,0.04,0.0,0.18
89,[ 50  98 250 250],0.01,0.0,0.0,0.78,0.04,0.0,0.17
90,[ 47  98 253 253],0.01,0.0,0.0,0.77,0.06,0.0,0.15
91,[ 47  98 253 253],0.02,0.0,0.01,0.65,0.09,0.0,0.22
92,[ 48  99 252 252],0.02,0.0,0.01,0.64,0.1,0.0,0.23
93,[ 48  99 250 250],0.02,0.0,0.02,0.5,0.09,0.0,0.38
94,[ 48 100 249 249],0.03,0.0,0.02,0.47,0.11,0.0,0.38
95,[ 46  98 252 252],0.04,0.0,0.02,0.39,0.15,0.0,0.4
96,[ 47  98 251 251],0.03,0.0,0.02,0.4,0.12,0.0,0.44
97,[ 48  98 251 251],0.01,0.0,0.01,0.51,0.05,0.0,0.43
98,[ 48  99 251 251],0.01,0.0,0.0,0.64,0.03,0.0,0.33
99,[ 48  98 250 250],0.02,0.0,0.01,0.42,0.08,0.0,0.48
100,[ 47  97 252 252],0.01,0.0,0.01,0.55,0.05,0.0,0.38
101,[ 48  98 251 251],0.02,0.0,0.01,0.36,0.1,0.0,0.5
102,[ 47  96 252 252],0.03,0.0,0.02,0.28,0.14,0.0,0.53
103,[ 48  97 252 252],0.05,0.0,0.03,0.27,0.22,0.0,0.43
104,[ 48  97 251 251],0.04,0.0,0.03,0.18,0.23,0.0,0.51
105,[ 48  96 251 251],0.09,0.0,0.06,0.13,0.34,0.0,0.37
106,[ 50  97 248 248],0.07,0.0,0.05,0.13,0.32,0.0,0.42
107,[ 50  98 249 249],0.05,0.01,0.04,0.15,0.26,0.0,0.5
108,[ 51  99 246 246],0.05,0.01,0.04,0.11,0.33,0.0,0.46
109,[ 50  98 247 247],0.12,0.01,0.07,0.11,0.39,0.0,0.31
110,[ 49  96 249 249],0.25,0.01,0.13,0.06,0.29,0.01,0.24
111,[ 49  96 249 249],0.24,0.01,0.12,0.05,0.33,0.01,0.24
