,box,angry,disgust,fear,happy,sad,surprise,neutral
0,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
1,[241 256  78  78],0.05,0.0,0.08,0.22,0.05,0.45,0.14
2,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
3,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
4,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
5,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
6,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
7,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
8,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
9,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
10,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
11,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
12,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
13,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
14,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
15,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
16,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
17,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
18,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
19,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
20,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
21,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
22,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
23,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
24,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
25,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
26,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
27,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
28,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
29,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
30,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
31,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
32,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
33,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
34,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
35,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
36,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
37,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
38,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
39,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
40,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
41,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
42,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
43,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
44,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
45,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
46,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
47,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
48,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
49,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
50,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
51,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
52,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
53,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
54,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
55,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
56,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
57,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
58,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
59,[354  96  59  59],0.15,0.0,0.03,0.65,0.09,0.01,0.08
60,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
61,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
62,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
63,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
64,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
65,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
66,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
67,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
68,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
69,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
70,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
71,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
72,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
73,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
74,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
75,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
76,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
77,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
78,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
79,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
80,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
81,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
82,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
83,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
84,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
85,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
86,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
87,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
88,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
89,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
90,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
91,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
92,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
93,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
94,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
95,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
96,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
97,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
98,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
99,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
100,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
101,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
102,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
103,[355  97  59  59],0.15,0.0,0.04,0.48,0.13,0.0,0.2
